r [kpc],mass_cum [solMass],v_circ,v_rot,v_dm,v_baryon,v_ring,v_bulge
0.0,-0.12060645329065088,0.0,0.0,0.0,0.0,0.0,0.0
0.1,5784886375.221909,390.6118230250172,391.0578431391796,21.191970057557683,390.036532509465,0.0,390.0920735704585
0.2,11852575599.798502,415.7177547384279,416.53683772503837,29.88045253490512,414.6425088688677,0.0,414.8269594634949
0.3,17172995248.692282,419.9506294137888,421.1385362270513,36.48706740679667,418.3625521686773,0.0,418.7416941934323
0.4,21834591445.608498,417.6757577172943,419.2302814660318,42.00681546361071,415.55801765736885,0.0,416.19522960962274
0.5,25958532622.091988,412.8035305462983,414.7215990246261,46.82647055754653,410.1390453085537,0.0,411.09616430126954
0.6,29645286707.554363,406.8142901287121,409.091408931304,51.14508344367705,403.5864803142782,0.0,404.9237151177517
0.7000000000000001,32973794596.92876,400.36754885965223,402.9977140388147,55.08131120993654,396.56049139479364,0.0,398.3362014173458
0.8,36006085162.64516,393.7859716237288,396.7617026757454,58.71273678215567,389.3843936102132,0.0,391.65459911905117
0.9,38791491129.730156,387.23603150432626,390.5484349851575,62.093440178627475,382.2252592150377,0.0,385.0430416246544
1.0,41369825550.105965,380.80589547163464,384.44472879914616,65.26293726756973,375.1717993735174,0.0,378.58659786302337
1.1,43773689938.27054,374.5424616240984,378.49618667303554,68.2511666090112,368.2714132483652,0.0,372.32823064207753
1.2,46030149559.28566,368.47005087851835,372.7258768073909,71.0814716577943,361.548894039769,0.0,366.28742420714724
1.3000000000000003,48161961021.94746,362.60070184175356,367.14461414287206,73.77248376443896,355.0167455421756,0.0,360.4704298040949
1.4000000000000001,50188483830.31012,356.93985691534306,361.756634815497,76.33936432231457,348.6808897969754,0.0,354.8759093033655
1.5000000000000002,52126365109.78571,351.48966043931625,356.56288396869047,78.79465425016912,342.5439882078536,0.0,349.4982083569776
1.6,53990061369.650444,346.2509328160661,351.5629809068243,81.14887277575416,336.60744038600865,0.0,344.3293129806105
1.7,55792239582.99932,341.22434317610697,346.7563849067086,83.41095051453209,330.87258228845116,0.0,339.36002252414
1.8000000000000003,57544088536.08391,336.4111037120855,342.1430850063033,85.5885497295267,325.3414066115468,0.0,334.5806625484345
1.9000000000000001,59255562549.39396,331.813363515354,337.7239919419378,87.6883057859117,320.0169827302434,0.0,329.9815151774797
2.0,60935573277.86107,327.4343923256073,333.5011232397568,89.71601231309386,314.90366528873005,0.0,325.55306152664446
2.1,62592141161.60271,323.2786438816356,329.47767102330124,91.67676535406811,310.00718102031846,0.0,321.2861284451627
2.2,64232515771.8575,319.3517813237922,325.6580343333381,93.57507710572249,305.3346773285623,0.0,317.17202277661073
2.3000000000000003,65863270128.74917,315.66050622728795,322.04766114779136,95.41496675582236,300.89456510653855,0.0,313.2024996663455
2.4,67490378105.23389,312.21239694381035,318.65290242229156,97.20003382447132,296.6963670655928,0.0,309.369759600477
2.5000000000000004,69119271622.97597,309.0158453693628,315.48096527918227,98.93351796916251,292.7506647500349,0.0,305.6665847844513
2.6,70754888789.11786,306.07959854205353,312.5394815778229,100.61834819432316,289.06862273569334,0.0,302.0860962090587
2.7,72401710065.55994,303.41271691612366,309.8364869000357,102.25718367875432,285.66194211429934,0.0,298.62195870411824
2.8000000000000003,74063786512.20209,301.0241187052475,307.37999542423245,103.85244790727333,282.5423669220919,0.0,295.2681881020261
