r [kpc],r [arcsec],v_data,v_data_err,v_model,disp_data,disp_data_err,disp_model
-9.919145331227583,-1.2,-37.0,26.57,-128.5972527202165,46.93,16.0,70.7551849620343
-8.348613987116549,-1.01,-67.0,16.64,-140.00308921033272,53.22,15.0,69.86151494684081
-7.356699453993791,-0.89,-88.0,13.45,-141.68252409459149,57.79,15.0,69.68269018232124
-6.034146743163446,-0.73,-104.0,10.25,-137.59814279811306,62.26,15.0,69.88588454429788
-5.124891754467584,-0.62,-116.0,9.97,-132.23911260744578,66.16,10.64,70.0401337186151
-4.050317676917929,-0.48999999999999994,-115.0,10.15,-125.85517593254419,73.82,11.03,70.20410405493189
-2.975743599368275,-0.36,-93.0,11.84,-120.72091885273501,76.65,14.3,71.35332681531025
-1.735850432964827,-0.21,-92.0,16.64,-108.04370188458508,92.38,23.31,81.7238489758629
-0.4959572665613792,-0.06,-54.0,27.51,-45.91623290722595,156.33,39.86,116.65175068832494
0.8265954442689654,0.1,99.0,17.49,70.70389281470366,147.59,24.5,106.84542345968937
1.9838290662455167,0.24,109.0,11.34,112.49521489411023,106.42,13.29,77.83753050837998
2.975743599368275,0.36,119.0,9.73,120.72091885273502,91.47,10.2,71.35332681531027
4.298296310198619,0.52,118.0,9.43,127.21733871818006,88.26,10.0,70.14231944963561
5.207551298894481,0.63,106.0,9.59,132.75731051378912,81.32,10.0,70.03004657084274
6.447444465297929,0.78,100.0,10.44,139.5150956041926,85.03,15.0,69.79732399168324
7.687337631701378,0.93,83.0,21.93,141.62014173638772,73.34,24.5,69.70053951522418
