,MAP,median,errplus,errminus
Re,4.82,4.82,0.0,0.0
M_baryon,10.900234277011913,10.910643484296795,0.11913548836572652,0.09582070411626908
M_vir,11.9658420290192,11.395546568832271,0.5661070360107558,0.8415856661765115
BT,0.9548182903829411,0.9028303374305521,0.06301610097728816,0.3038716383719635
DT,0.09999999999999998,0.09999999999999998,0.0,0.0
R_peak,4.578111874053411,4.417683641435066,0.32112383617385465,0.4801686464730448
ring_FWHM,5.103619948990163,5.054409334540895,0.32312152962070684,0.39514421424848134
sigma,59.663242292868595,60.40633819073181,3.0388168656862717,0.9352690037044482
c,4.0,4.0,0.0,0.0
alpha,1.0,1.0,0.0,0.0
i,25.0,25.0,0.0,0.0
f,0.10422074428291678,0.1087825855095153,0.10894838677653576,0.059065636445256274
