r [kpc],r [arcsec],v_data,v_data_err,v_model,disp_data,disp_data_err,disp_model
-10.161242890941255,-1.2,-37.0,26.57,-83971.50008348178,46.93,16.0,69773.40370525907
-8.552379433208891,-1.01,-67.0,16.64,-65095.96928092519,53.22,15.0,69832.6636095025
-7.536255144114765,-0.89,-88.0,13.45,-52831.84524263992,57.79,15.0,69883.37513076422
-6.1814227586559305,-0.73,-104.0,10.25,-35263.77322803333,62.26,15.0,70028.85280971287
-5.249975493652982,-0.62,-116.0,9.97,-19930.570229026638,66.16,10.64,70535.56501906722
-4.149174180467679,-0.49,-115.0,10.15,-4726.683703523413,73.82,11.03,69865.495159096
-3.0483728672823767,-0.36,-93.0,11.84,0.053414708443710976,76.65,14.3,69461.5316683129
-1.7782175059147196,-0.21,-92.0,16.64,1.3827355307342921e-08,92.38,23.31,69461.53220000002
-0.5080621445470628,-0.06,-54.0,27.51,3.205155683596197e-16,156.33,39.86,69461.5322
0.8467702409117713,0.1,99.0,17.49,1.044552579821028e-13,147.59,24.5,69461.5322
2.032248578188251,0.24,109.0,11.34,5.527038181111832e-07,106.42,13.29,69461.53219999924
3.0483728672823767,0.36,119.0,9.73,-0.05341470844371088,91.47,10.2,69461.53166831292
4.403205252741211,0.52,118.0,9.43,7484.173559118849,88.26,10.0,70099.41897780546
5.33465251774416,0.63,106.0,9.59,21391.21632743485,81.32,10.0,70510.94599105814
6.604807879111816,0.78,100.0,10.44,41019.871426708676,85.03,15.0,69961.5790809679
7.874963240479474,0.93,83.0,21.93,56968.153869775735,73.34,24.5,69864.32598218673
