,MAP,median,errplus,errminus
Re,4.82,4.82,0.0,0.0
M_baryon,11.207389629520813,11.208534651677994,0.0018689615414775318,0.002112735545788169
M_vir,11.921277512788574,11.920267517278596,0.0012031822124516367,0.001406694609885406
BT,0.5007432814634618,0.5002906030500386,0.0006240086401185785,0.0027758759061370375
DT,0.09999999999999998,0.09999999999999998,0.0,0.0
R_peak,4.568471720116157,4.570268834320647,0.00171925954119434,0.0017331756917222663
ring_FWHM,5.059931881921624,5.0597061651763,0.001444479391320641,0.002164881420234188
sigma,59.99837801682952,59.99920375604453,0.001804114576245297,0.004439834054835501
c,4.0,4.0,0.0,0.0
alpha,1.0,1.0,0.0,0.0
i,25.0,25.0,0.0,0.0
f,0.10350706248727026,0.1034258972706934,0.00023853223845125837,0.00045512660093173507
